Review,Price,Shipping,Outlook,Quality,Size,Shop_Service,General,Others,Review_Cleaned,tokens,input_ids,attention_mask
"Giày đẹp, đi êm lắm",-1,-1,1,1,-1,-1,1,-1,"giày đẹp, đi êm lắm","['▁gi', 'ày', '▁đ', 'ẹp', ',', '▁đi', '▁êm', '▁l', 'ắm']","[0, 33, 193, 8, 165, 14665, 48, 1526, 10, 178, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Mình săn sale với giá khá rẻ Chất lượng ok  Shipper thân thiện  Sẽ tiếp tục ủng hộ shop,1,1,-1,1,-1,-1,1,-1,mình săn sale với giá khá rẻ chất lượng ổn shiper thân thiện sẽ tiếp tục ủng hộ shop,"['▁m', 'ình', '▁s', 'ăn', '▁s', 'ale', '▁v', 'ới', '▁giá', '▁khá', '▁rẻ', '▁ch', 'ất', '▁l', 'ượ', 'ng', '▁ổn', '▁sh', 'ip', 'er', '▁th', 'ân', '▁th', 'iện', '▁sẽ', '▁tiếp', '▁t', 'ục', '▁ủng', '▁hộ', '▁shop']","[0, 9, 39, 19, 153, 19, 1212, 15, 54, 224, 552, 752, 11, 51, 10, 69, 4, 645, 223, 648, 267, 12, 91, 12, 263, 237, 609, 6, 342, 716, 416, 308, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Hình ảnh và video chỉ mang tính chất minh họa thôi. Về sản phẩm tính thang điểm thì 9/ 10 ạ, khá tốt hợp với giá tiền, shipper thì ân cần thân thiện, giao hàng khá nhanh ạ .",1,1,-1,-1,-1,-1,1,-1,"hình ảnh và video chỉ mang tính chất minh họa thôi. về sản phẩm tính thang điểm thì 9/ 10 ạ, khá tốt hợp với giá tiền, shiper thì ân cần thân thiện, giao hàng khá nhanh ạ .","['▁h', 'ình', '▁ảnh', '▁và', '▁video', '▁chỉ', '▁m', 'ang', '▁t', 'ính', '▁ch', 'ất', '▁m', 'inh', '▁họa', '▁th', 'ôi', '.', '▁về', '▁s', 'ản', '▁ph', 'ẩm', '▁t', 'ính', '▁th', 'ang', '▁điểm', '▁thì', '▁9/', '▁10', '▁ạ', ',', '▁khá', '▁t', 'ốt', '▁h', 'ợp', '▁v', 'ới', '▁giá', '▁t', 'iền', ',', '▁sh', 'ip', 'er', '▁thì', '▁ân', '▁c', 'ần', '▁th', 'ân', '▁th', 'iện', ',', '▁gi', 'ao', '▁h', 'àng', '▁khá', '▁nha', 'nh', '▁ạ', '▁.']","[0, 13, 39, 444, 62, 1067, 229, 9, 86, 6, 261, 11, 51, 9, 81, 3522, 12, 78, 14660, 206, 19, 169, 35, 277, 6, 261, 12, 86, 761, 61, 8993, 1573, 155, 14665, 552, 6, 185, 13, 491, 15, 54, 224, 6, 209, 14665, 223, 648, 267, 61, 5244, 5, 76, 12, 91, 12, 263, 14665, 33, 44, 13, 79, 552, 87, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Mình đặt size 39 nhưng chật k đeo nổi. Còn giầy thì đẹp giao hàng nhanh,-1,1,1,-1,0,-1,0,-1,mình đặt size 39 nhưng chật không đeo nổi. còn giày thì đẹp giao hàng nhanh,"['▁m', 'ình', '▁đ', 'ặt', '▁size', '▁39', '▁như', 'ng', '▁ch', 'ật', '▁kh', 'ông', '▁đ', 'eo', '▁n', 'ổi', '.', '▁c', 'òn', '▁gi', 'ày', '▁thì', '▁đ', 'ẹp', '▁gi', 'ao', '▁h', 'àng', '▁nha', 'nh']","[0, 9, 39, 8, 244, 1082, 10866, 65, 4, 11, 149, 25, 38, 8, 254, 16, 292, 14660, 5, 119, 33, 193, 61, 8, 165, 33, 44, 13, 79, 87, 7, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Nên mua nha mọi người đẹp xuất sắc lun ạ,-1,-1,1,-1,-1,-1,1,-1,nên mua nha mọi người đẹp xuất sắc luôn ạ,"['▁n', 'ên', '▁mua', '▁nha', '▁m', 'ọi', '▁ng', 'ười', '▁đ', 'ẹp', '▁xu', 'ất', '▁s', 'ắc', '▁luôn', '▁ạ']","[0, 16, 31, 183, 87, 9, 301, 23, 92, 8, 165, 420, 51, 19, 181, 166, 155, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Giày đẹp giống hình, mọi người nên mua tăng 1 size để khỏi phải mang chật chân, đáng mua mọi người nên mua, giao hàng nhanh.",-1,1,1,-1,2,-1,1,-1,"giày đẹp giống hình, mọi người nên mua tăng 1 size để khỏi phải mang chật chân, đáng mua mọi người nên mua, giao hàng nhanh.","['▁gi', 'ày', '▁đ', 'ẹp', '▁gi', 'ống', '▁h', 'ình', ',', '▁m', 'ọi', '▁ng', 'ười', '▁n', 'ên', '▁mua', '▁t', 'ăng', '▁1', '▁size', '▁để', '▁kh', 'ỏi', '▁ph', 'ải', '▁m', 'ang', '▁ch', 'ật', '▁ch', 'ân', ',', '▁đ', 'áng', '▁mua', '▁m', 'ọi', '▁ng', 'ười', '▁n', 'ên', '▁mua', ',', '▁gi', 'ao', '▁h', 'àng', '▁nha', 'nh', '.']","[0, 33, 193, 8, 165, 33, 164, 13, 39, 14665, 9, 301, 23, 92, 16, 31, 183, 6, 251, 303, 1082, 151, 25, 314, 35, 99, 9, 86, 11, 149, 11, 91, 14665, 8, 207, 183, 9, 301, 23, 92, 16, 31, 183, 14665, 33, 44, 13, 79, 87, 7, 14660, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Đặt đế đen giao đế trắng là sao,-1,-1,-1,-1,-1,0,0,-1,đặt đế đen giao đế trắng là sao,"['▁đ', 'ặt', '▁đế', '▁đ', 'en', '▁gi', 'ao', '▁đế', '▁tr', 'ắng', '▁là', '▁s', 'ao']","[0, 8, 244, 2360, 8, 114, 33, 44, 2360, 26, 402, 29, 19, 44, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Hàng đẹp giao nhanh shop nhiệt tình ảnh minh họa,-1,1,-1,-1,-1,1,1,-1,hàng đẹp giao nhanh shop nhiệt tình ảnh minh họa,"['▁h', 'àng', '▁đ', 'ẹp', '▁gi', 'ao', '▁nha', 'nh', '▁shop', '▁nh', 'iệt', '▁t', 'ình', '▁ảnh', '▁m', 'inh', '▁họa']","[0, 13, 79, 8, 165, 33, 44, 87, 7, 308, 18, 282, 6, 39, 444, 9, 81, 3522, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Đặt hàng từ hôm 21 nay 27 mới nhận đc giày Chân đi 37 38 đặt size 37 vừa y ............,-1,-1,-1,-1,1,-1,1,-1,đặt hàng từ hôm 21 nay 27 mới nhận được giày chân đi 37 38 đặt size 37 vừa y ............,"['▁đ', 'ặt', '▁h', 'àng', '▁từ', '▁h', 'ôm', '▁21', '▁n', 'ay', '▁27', '▁m', 'ới', '▁nh', 'ận', '▁đ', 'ược', '▁gi', 'ày', '▁ch', 'ân', '▁đi', '▁37', '▁38', '▁đ', 'ặt', '▁size', '▁37', '▁v', 'ừa', '▁y', '▁.', '..', '..', '..', '..', '...']","[0, 8, 244, 13, 79, 255, 13, 388, 9732, 16, 46, 10475, 9, 54, 18, 138, 8, 103, 33, 193, 11, 91, 48, 9196, 7794, 8, 244, 1082, 9196, 15, 320, 170, 140, 187, 187, 187, 187, 654, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Đã mua của shop mấy lần rồi, sản phẩm uy tín y ảnh tuy nhiên form bé mọi người nên lên 1-2 size. ￼Giày thể thao RENBEN thoáng khí chống mài mòn mới cho nam. Đóng gói tương đối thôi vì có hộp nên cũng k sợ lắm",-1,-1,-1,-1,0,-1,1,-1,"đã mua của shop mấy lần rồi, sản phẩm uy tín y ảnh tuy nhiên form bé mọi người nên lên 1-2 size. giày thể thao renben thoáng khí chống mài mòn mới cho nam. đóng gói tương đối thôi vì có hộp nên cũng không sợ lắm","['▁đã', '▁mua', '▁c', 'ủa', '▁shop', '▁m', 'ấy', '▁l', 'ần', '▁r', 'ồi', ',', '▁s', 'ản', '▁ph', 'ẩm', '▁uy', '▁tín', '▁y', '▁ảnh', '▁t', 'uy', '▁nh', 'iên', '▁form', '▁bé', '▁m', 'ọi', '▁ng', 'ười', '▁n', 'ên', '▁l', 'ên', '▁1', '-2', '▁size', '.', '▁gi', 'ày', '▁thể', '▁th', 'ao', '▁re', 'nb', 'en', '▁tho', 'áng', '▁khí', '▁ch', 'ống', '▁m', 'ài', '▁m', 'òn', '▁m', 'ới', '▁cho', '▁n', 'am', '.', '▁đó', 'ng', '▁g', 'ói', '▁t', 'ươ', 'ng', '▁đ', 'ối', '▁th', 'ôi', '▁vì', '▁có', '▁hộp', '▁n', 'ên', '▁c', 'ũng', '▁kh', 'ông', '▁sợ', '▁l', 'ắm']","[0, 197, 183, 5, 98, 308, 9, 49, 10, 76, 24, 80, 14665, 19, 169, 35, 277, 2269, 1767, 170, 444, 6, 43, 18, 161, 3778, 435, 9, 301, 23, 92, 16, 31, 10, 31, 303, 6898, 1082, 14660, 33, 193, 338, 12, 44, 910, 11545, 114, 535, 207, 2032, 11, 164, 9, 96, 9, 119, 9, 54, 71, 16, 97, 14660, 136, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
